index,status,categories,details
100,consensus,['no-dd'],
101,disagreement,,"{'Leica': ['visual-prominence-vote', 'confirmshaming-vote'], 'Nina': ['visual-prominence-vote', 'confirmshaming-vote', 'choice-overload-sum'], 'luna': ['visual-prominence-vote', 'confirmshaming-vote', 'positive-vote']}"
102,disagreement,,"{'Leica': ['no-dd'], 'Nina': ['forced-registration-sum'], 'luna': ['no-dd']}"
104,consensus,['no-dd'],
105,disagreement,,"{'Leica': ['no-dd'], 'Nina': ['visual-prominence-vote'], 'luna': ['no-dd']}"
106,disagreement,,"{'Leica': ['visual-prominence-vote'], 'Nina': ['visual-prominence-vote', 'high-demand-vote'], 'luna': ['visual-prominence-vote', 'bundling-vote', 'limited-time-vote']}"
107,disagreement,,"{'Leica': ['hidden-information-sum'], 'Nina': ['forced-registration-sum', 'hidden-information-sum'], 'luna': ['hidden-information-sum']}"
108,disagreement,,"{'Leica': ['no-dd'], 'Nina': ['no-way-back'], 'luna': ['no-dd']}"
109,disagreement,,"{'Leica': ['visual-prominence-vote'], 'Nina': ['visual-prominence-vote', 'limited-time-vote'], 'luna': ['visual-prominence-vote', 'limited-time-vote']}"
110,disagreement,,"{'Leica': ['no-dd'], 'Nina': ['forced-registration-sum'], 'luna': ['no-dd']}"
111,disagreement,,"{'Leica': ['no-dd'], 'Nina': ['dead-end-vote'], 'luna': ['conflicting-information-vote']}"
112,disagreement,,"{'Leica': ['no-dd'], 'Nina': ['no-dd'], 'luna': ['hidden-information-sum']}"
113,consensus,['no-dd'],
114,disagreement,,"{'Leica': ['endorsement-vote'], 'Nina': ['endorsement-vote'], 'luna': ['endorsement-vote', 'hidden-information-sum']}"
115,disagreement,,"{'Leica': ['no-dd'], 'Nina': ['high-demand-vote'], 'luna': ['no-dd']}"
116,disagreement,,"{'Leica': ['no-way-back', 'dead-end-vote'], 'Nina': ['no-way-back'], 'luna': ['no-dd']}"
117,disagreement,,"{'Leica': ['no-dd'], 'Nina': ['visual-prominence-vote', 'forced-registration-sum', 'nagging-sum'], 'luna': ['no-dd']}"
118,disagreement,,"{'Leica': ['visual-prominence-vote'], 'Nina': ['visual-prominence-vote', 'forced-registration-sum', 'hidden-information-sum'], 'luna': ['hidden-information-sum']}"
120,disagreement,,"{'Leica': ['visual-prominence-vote', 'positive-vote'], 'Nina': ['visual-prominence-vote', 'confirmshaming-vote'], 'luna': ['visual-prominence-vote', 'extra-burden']}"
121,disagreement,,"{'Leica': ['conflicting-information-vote'], 'Nina': ['no-dd'], 'luna': ['conflicting-information-vote']}"
122,consensus,['no-dd'],
123,disagreement,,"{'Leica': ['visual-prominence-vote', 'positive-vote', 'nagging-sum'], 'Nina': ['visual-prominence-vote', 'positive-vote', 'nagging-sum'], 'luna': ['nagging-sum', 'positive-vote']}"
124,consensus,['no-dd'],
125,consensus,['no-dd'],
126,disagreement,,"{'Leica': ['no-dd'], 'Nina': ['forced-registration-sum'], 'luna': ['no-dd']}"
127,disagreement,,"{'Leica': ['visual-prominence-vote', 'nagging-sum'], 'Nina': ['visual-prominence-vote', 'limited-time-vote', 'hidden-information-sum', 'nagging-sum'], 'luna': ['visual-prominence-vote', 'low-stock-vote', 'limited-time-vote']}"
128,disagreement,,"{'Leica': ['visual-prominence-vote', 'positive-vote'], 'Nina': ['information-without-context-vote', 'positive-vote'], 'luna': ['hidden-information-sum']}"
129,consensus,['no-dd'],
130,disagreement,,"{'Leica': ['no-dd'], 'Nina': ['visual-prominence-vote', 'no-way-back', 'nagging-sum'], 'luna': ['bad-defaults-sum', 'positive-vote', 'nagging-sum']}"
131,consensus,['no-dd'],
132,consensus,['no-dd'],
133,disagreement,,"{'Leica': ['no-dd'], 'Nina': ['no-way-back'], 'luna': ['no-dd']}"
134,disagreement,,"{'Leica': ['visual-prominence-vote'], 'Nina': ['visual-prominence-vote', 'nagging-sum'], 'luna': ['no-dd']}"
135,disagreement,,"{'Leica': ['visual-prominence-vote', 'confirmshaming-vote'], 'Nina': ['visual-prominence-vote', 'confirmshaming-vote'], 'luna': ['confirmshaming-vote']}"
136,disagreement,,"{'Leica': ['visual-prominence-vote', 'nagging-sum'], 'Nina': ['nagging-sum'], 'luna': ['positive-vote']}"
137,disagreement,,"{'Leica': ['visual-prominence-vote'], 'Nina': ['endorsement-vote'], 'luna': ['hidden-information-sum', 'positive-vote']}"
138,disagreement,,"{'Leica': ['visual-prominence-vote', 'positive-vote'], 'Nina': ['limited-time-vote'], 'luna': ['nagging-sum', 'positive-vote', 'limited-time-vote']}"
139,consensus,['no-dd'],
140,disagreement,,"{'Leica': ['no-dd'], 'Nina': ['bad-defaults-sum', 'no-way-back'], 'luna': ['bad-defaults-sum']}"
141,disagreement,,"{'Leica': ['visual-prominence-vote', 'nagging-sum'], 'Nina': ['visual-prominence-vote', 'limited-time-vote'], 'luna': ['visual-prominence-vote', 'limited-time-vote']}"
142,consensus,['no-dd'],
143,disagreement,,"{'Leica': ['visual-prominence-vote'], 'Nina': ['no-dd'], 'luna': ['visual-prominence-vote', 'conflicting-information-vote']}"
144,disagreement,,"{'Leica': ['no-dd'], 'Nina': ['no-way-back'], 'luna': ['no-dd']}"
145,consensus,['no-dd'],
146,disagreement,,"{'Leica': ['visual-prominence-vote'], 'Nina': ['forced-registration-sum'], 'luna': ['no-dd']}"
147,disagreement,,"{'Leica': ['hidden-information-sum', 'positive-vote'], 'Nina': ['information-without-context-vote', 'positive-vote'], 'luna': ['no-dd']}"
148,disagreement,,"{'Leica': ['visual-prominence-vote'], 'Nina': ['visual-prominence-vote', 'forced-registration-sum', 'hidden-information-sum'], 'luna': ['hidden-information-sum']}"
149,consensus,['visual-prominence-vote'],
14,consensus,['no-dd'],
150,disagreement,,"{'Leica': ['no-dd'], 'Nina': ['no-way-back'], 'luna': ['no-dd']}"
152,disagreement,,"{'Leica': ['no-dd'], 'Nina': ['confirmshaming-vote'], 'luna': ['no-dd']}"
153,disagreement,,"{'Leica': ['no-dd'], 'Nina': ['nagging-sum'], 'luna': ['no-dd']}"
154,consensus,['no-dd'],
155,disagreement,,"{'Leica': ['no-dd'], 'Nina': ['forced-registration-sum'], 'luna': ['no-dd']}"
156,consensus,['no-dd'],
158,disagreement,,"{'Leica': ['positive-vote'], 'Nina': ['positive-vote'], 'luna': ['visual-prominence-vote']}"
159,disagreement,,"{'Leica': ['hidden-information-sum'], 'Nina': ['forced-registration-sum', 'hidden-information-sum'], 'luna': ['no-dd']}"
15,disagreement,,"{'Leica': ['positive-vote'], 'Nina': ['positive-vote'], 'luna': ['no-dd']}"
160,disagreement,,"{'Leica': ['no-dd'], 'Nina': ['visual-prominence-vote', 'positive-vote', 'nagging-sum'], 'luna': ['no-dd']}"
161,disagreement,,"{'Leica': ['endorsement-vote'], 'Nina': ['visual-prominence-vote', 'nagging-sum'], 'luna': ['no-dd']}"
162,disagreement,,"{'Leica': ['no-dd'], 'Nina': ['visual-prominence-vote', 'limited-time-vote'], 'luna': ['visual-prominence-vote', 'limited-time-vote']}"
163,consensus,['no-dd'],
16,consensus,['no-dd'],
17,disagreement,,"{'Leica': ['visual-prominence-vote'], 'Nina': ['no-dd'], 'luna': ['visual-prominence-vote']}"
18,consensus,['no-dd'],
19,disagreement,,"{'Leica': ['positive-vote'], 'Nina': ['positive-vote'], 'luna': ['no-dd']}"
20,disagreement,,"{'Leica': ['positive-vote'], 'Nina': ['positive-vote'], 'luna': ['no-dd']}"
21,consensus,['no-dd'],
22,consensus,['no-dd'],
23,disagreement,,"{'Leica': ['no-dd'], 'Nina': ['forced-registration-sum'], 'luna': ['no-dd']}"
24,disagreement,,"{'Leica': ['nagging-sum'], 'Nina': ['no-dd'], 'luna': ['visual-prominence-vote']}"
25,disagreement,,"{'Leica': ['positive-vote'], 'Nina': ['positive-vote'], 'luna': ['no-dd']}"
26,consensus,['no-dd'],
27,disagreement,,"{'Leica': ['positive-vote'], 'Nina': ['confirmshaming-vote', 'positive-vote'], 'luna': ['no-dd']}"
28,consensus,['no-dd'],
